"","ssyk_2012_kod","url","code","title","description"
"33","1362","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1362","1362","Driftchefer inom bygg, anläggning och gruva nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki inom byggnads-, anläggnings-, eller gruvverksamhet. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på en byggarbetsplats, anläggning eller gruva."
"34","1371","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1371","1371","Produktionschefer inom tillverkning nivå 1","Chef på mellanchefsnivå. Underställd verk­ställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande interna tillverkningsverksamheten i ett företag eller organisation, i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer."
"35","1372","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1372","1372","Produktionschefer inom tillverkning nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki inom tillverkning. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på en tillverkningsenhet."
"36","1380","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1380","1380","Förvaltare inom skogsbruk och lantbruk m.fl.","Planerar, leder och samordnar verksamheten inom skogsbruk eller på större lantbruk. Planlägger och leder den dagliga verksamheten samt ansvarar för personal."
"37","1411","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1411","1411","Avdelningschefer inom grund- och gymnasieskola samt vuxenutbildning nivå 1","Chef på förvaltning eller mellanchefsnivå. Under­ställd kommunchef, förvaltningschef, verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande pedagogiska verksamheten inom grund- eller gymnasieskola och vuxenutbildning, i samråd med högsta chefer och chefer för andra avdelningar eller enheter, samt underställda chefer."
"38","1412","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1412","1412","Rektorer nivå 2","Verksamhetsnära chef underställd mellanchef, chef för förvaltning eller verkställande direktör. Högsta chef i företag utan chefshierarki inom grund- eller gymnasieskola. Planlägger och leder den dagliga verksamheten samt ansvarar för personal inom grund- eller gymnasieskola och vuxenutbildning. Övervakar elevernas utveckling och rådgör med föräldrar eller vårdnadshavare."
"39","1421","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1421","1421","Avdelningschefer inom förskola nivå 1","Chef på förvaltning eller mellanchefsnivå. Under­ställd kommunchef, förvaltningschef, verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande pedagogiska verksamheten inom förskola och annan verksamhet som bedriver barnomsorg, i samråd med högsta chef, chefer för andra avdelningar samt underställda chefer."
"40","1422","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1422","1422","Förskolechefer nivå 2","Verksamhetsnära chef underställd förvaltningschef, mellanchef, verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki inom förskola. Planlägger och leder den dagliga verksamheten samt ansvarar för personal på en förskola eller annan verksamhet som bedriver barnomsorg. Övervakar barnens utveckling och rådgör med föräldrar eller vårdnadshavare."
"41","1491","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1491","1491","Övriga avdelningschefer inom utbildning nivå 1","Chef på förvaltning eller mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande pedagogiska verksamheten inom annan utbildningsform än läroplanstyrd verksamhet, i samråd med högre chefer och chefer för andra avdelningar eller enheter, samt underställda chefer."
"42","1492","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1492","1492","Övriga verksamhetschefer inom utbildning nivå 2","Verksamhetsnära chef underställd mellanchef, chef för förvaltning eller verkställande direktör. Högsta chef i företag utan chefshierarki inom annan utbildningsform än läroplanstyrd verksamhet. Planlägger och leder den dagliga verksamheten samt ansvarar för personal. Övervakar elevernas eller studenternas utveckling."
"43","1511","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1511","1511","Klinik- och verksamhetschefer inom hälsa och sjukvård nivå 1","Chef på förvaltning eller mellanchefsnivå. Underställd landstingsdirektör, förvaltningschef, verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande verksamheten inom hälso- och sjukvård, i samråd med högre chefer och chefer för andra avdelningar eller enheter, samt underställda chefer."
"44","1512","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1512","1512","Avdelnings- och enhetschefer inom hälsa och sjukvård nivå 2","Verksamhetsnära chef underställd mellanchef, chef för förvaltning, landstingsdirektör eller verkställande direktör. Högsta chef i företag utan chefshierarki inom hälso- och sjukvård. Planlägger och leder den dagliga verksamheten samt ansvarar för personal."
"45","1521","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1521","1521","Avdelningschefer inom socialt och kurativt arbete nivå 1","Chef på förvaltning eller mellanchefsnivå. Under­ställd kommunchef, förvaltningschef, verkställ­ande direktör eller motsvarande. Planerar, leder och samordnar den övergripande verksamheten inom socialt och kurativt arbete, i samråd med högre chefer och chefer för andra avdelningar eller enheter, samt underställda chefer."
"46","1522","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1522","1522","Enhetschefer inom socialt och kurativt arbete nivå 2","Verksamhetsnära chef underställd mellanchef, chef för förvaltning, landstingsdirektör eller verkställande direktör. Högsta chef i företag utan chefshierarki inom socialt och kurativt arbete. Planlägger och leder den dagliga verksamheten samt ansvarar för personal."
"47","1531","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1531","1531","Avdelningschefer inom äldreomsorg nivå 1","Chef på förvaltning eller mellanchefsnivå. Underställd kommunchef, förvaltningschef, verkställ­ande direktör eller motsvarande. Planerar, leder och samordnar den övergripande verksamheten inom äldreomsorg, i samråd med högre chefer och chefer för andra avdelningar eller enheter, samt underställda chefer."
"48","1532","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1532","1532","Enhetschefer inom äldreomsorg nivå 2","Verksamhetsnära chef underställd mellanchef, chef för förvaltning, landstingsdirektör eller verkställande direktör. Högsta chef i företag utan chefshierarki inom äldreomsorg. Planlägger och leder den dagliga verksamheten samt ansvarar för personal."
"49","1540","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1540","1540","Chefer och ledare inom trossamfund nivå 0","Planerar, leder och samordnar verksamhet inom församlingsarbetet i Svenska kyrkan eller annat trossamfund. Planlägger och leder den dagliga verksamheten samt ansvarar för personal."
"50","1591","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1591","1591","Övriga chefer inom samhällsservice nivå 1","Chef på förvaltning eller mellanchefsnivå. Underställd landstingsdirektör, förvaltningschef, verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande verksamheten inom övrig samhällsservice, i samråd med högre chefer och chefer för andra avdelningar eller enheter, samt underställda chefer."
"51","1592","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1592","1592","Övriga verksamhetschefer inom samhällsservice nivå 2","Verksamhetsnära chef underställd mellanchef förvaltningschef, landstingsdirektör eller verkställande direktör. Högsta chef i företag utan chefshierarki inom övrig samhällsservice. Planlägger och leder den dagliga verksamheten samt ansvarar för personal."
"52","1611","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1611","1611","Chefer inom bank, finans och försäkring nivå 1","Chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande verksamheten inom bankkontor, finansiella institut och försäkringsbolag, i samråd med högre chefer och chefer för andra avdelningar eller enheter, samt underställda chefer."
"53","1612","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1612","1612","Chefer inom bank, finans och försäkring nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki inom bank, finans och försäkringsverksamhet. Planlägger och leder den dagliga verksamheten inom bankkontor, finansiella institut och försäkringsbolag samt ansvarar för personal."
"54","1711","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1711","1711","Hotell- och konferenschefer nivå 1","Chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande verksamheten inom hotell och konferensanläggningar, i samråd med högre chefer och chefer för andra avdelningar eller enheter, samt underställda chefer."
"55","1712","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1712","1712","Hotell- och konferenschefer nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki inom hotell och konferensverksamhet. Planlägger och leder den dagliga verksamheten inom hotell och konferensanläggningar samt ansvarar för personal."
"56","1721","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1721","1721","Restaurang- och kökschefer nivå 1","Chef på mellanchefsnivå. Underställd verk­ställande direktör eller motsvarande. Planerar, leder och samordnar den övergripande verksamheten inom restaurang och kök, i samråd med högre chefer och chefer för andra avdelningar eller enheter, samt underställda chefer."
"57","1722","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1722","1722","Restaurang- och kökschefer nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki inom restaurang och kök. Planlägger och leder den dagliga verksamheten inom restaurang och kök, planerar matsedlar och inköp samt ansvarar för personal."
"58","1731","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1731","1731","Chefer inom handel nivå 1","Chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder, utvecklar och samordnar den övergripande verksamheten inom handel, i samråd med högsta chef, chefer för andra avdelningar och underställda chefer."
